0;0
2;1.15E-17
4;1.93E-15
6;3.83E-15
8;5.73E-15
10;7.62E-15
12;9.49E-15
14;1.14E-14
16;1.32E-14
18;1.51E-14
20;1.69E-14
22;1.87E-14
24;2.05E-14
26;2.23E-14
28;2.41E-14
30;2.59E-14
32;2.77E-14
34;2.95E-14
36;3.12E-14
38;3.30E-14
40;3.47E-14
42;3.65E-14
44;3.82E-14
46;3.99E-14
48;4.16E-14
50;4.33E-14
52;4.50E-14
54;4.66E-14
56;4.83E-14
58;5.00E-14
60;5.16E-14
62;5.32E-14
64;5.49E-14
66;5.65E-14
68;5.81E-14
70;5.97E-14
72;6.13E-14
74;6.29E-14
76;6.45E-14
78;6.60E-14
80;6.76E-14
82;6.92E-14
84;7.07E-14
86;7.22E-14
88;7.38E-14
90;7.53E-14
92;7.68E-14
94;7.83E-14
96;7.98E-14
98;8.13E-14
100;8.28E-14
102;8.42E-14
104;8.57E-14
106;8.72E-14
108;8.86E-14
110;9.00E-14
112;9.15E-14
114;9.29E-14
116;9.43E-14
118;9.57E-14
120;9.71E-14
122;9.85E-14
124;9.99E-14
126;1.01E-13
128;1.03E-13
130;1.04E-13
132;1.05E-13
134;1.07E-13
136;1.08E-13
138;1.09E-13
140;1.11E-13
142;1.12E-13
144;1.13E-13
146;1.15E-13
148;1.16E-13
150;1.17E-13
152;1.19E-13
154;1.20E-13
156;1.21E-13
158;1.22E-13
160;1.24E-13
162;1.25E-13
164;1.26E-13
166;1.27E-13
168;1.29E-13
170;1.30E-13
172;1.31E-13
174;1.32E-13
176;1.33E-13
178;1.35E-13
180;1.36E-13
182;1.37E-13
184;1.38E-13
186;1.39E-13
188;1.41E-13
190;1.42E-13
192;1.43E-13
194;1.44E-13
196;1.45E-13
198;1.46E-13
200;1.47E-13
202;1.49E-13
204;1.50E-13
206;1.51E-13
208;1.52E-13
210;1.53E-13
212;1.54E-13
214;1.55E-13
216;1.56E-13
218;1.57E-13
220;1.58E-13
222;1.59E-13
224;1.60E-13
226;1.62E-13
228;1.63E-13
230;1.64E-13
232;1.65E-13
234;1.66E-13
236;1.67E-13
238;1.68E-13
240;1.69E-13
242;1.70E-13
244;1.71E-13
246;1.72E-13
248;1.73E-13
250;1.74E-13
252;1.75E-13
254;1.76E-13
256;1.77E-13
258;1.78E-13
260;1.79E-13
262;1.80E-13
264;1.81E-13
266;1.81E-13
268;1.82E-13
270;1.83E-13
272;1.84E-13
274;1.85E-13
276;1.86E-13
278;1.87E-13
280;1.88E-13
282;1.89E-13
284;1.90E-13
286;1.91E-13
288;1.92E-13
290;1.92E-13
292;1.93E-13
294;1.94E-13
296;1.95E-13
298;1.96E-13
300;1.97E-13
302;1.98E-13
304;1.98E-13
306;1.99E-13
308;2.00E-13
310;2.01E-13
312;2.02E-13
314;2.03E-13
316;2.03E-13
318;2.04E-13
320;2.05E-13
322;2.06E-13
324;2.07E-13
326;2.08E-13
328;2.08E-13
330;2.09E-13
332;2.10E-13
334;2.11E-13
336;2.12E-13
338;2.12E-13
340;2.13E-13
342;2.14E-13
344;2.15E-13
346;2.15E-13
348;2.16E-13
350;2.17E-13
352;2.18E-13
354;2.18E-13
356;2.19E-13
358;2.20E-13
360;2.21E-13
362;2.21E-13
364;2.22E-13
366;2.23E-13
368;2.23E-13
370;2.24E-13
372;2.25E-13
374;2.26E-13
376;2.26E-13
378;2.27E-13
380;2.28E-13
382;2.28E-13
384;2.29E-13
386;2.30E-13
388;2.30E-13
390;2.31E-13
392;2.32E-13
394;2.32E-13
396;2.33E-13
398;2.34E-13
400;2.34E-13
402;2.35E-13
404;2.36E-13
406;2.36E-13
408;2.37E-13
410;2.38E-13
412;2.38E-13
414;2.39E-13
416;2.40E-13
418;2.40E-13
420;2.41E-13
422;2.41E-13
