time;c
712;2.15E-04
714;2.23E-04
716;2.31E-04
718;2.40E-04
720;2.48E-04
722;2.57E-04
724;2.67E-04
726;2.76E-04
728;2.86E-04
730;2.97E-04
732;3.08E-04
734;3.19E-04
736;3.30E-04
738;3.42E-04
740;3.54E-04
742;3.67E-04
744;3.81E-04
746;3.95E-04
748;4.09E-04
750;4.23E-04
752;4.39E-04
754;4.54E-04
756;4.71E-04
758;4.88E-04
760;5.06E-04
762;5.24E-04
764;5.43E-04
766;5.63E-04
768;5.83E-04
770;6.04E-04
772;6.26E-04
774;6.49E-04
776;6.73E-04
778;6.97E-04
780;7.23E-04
782;7.49E-04
784;7.76E-04
786;8.04E-04
788;8.34E-04
790;8.65E-04
792;8.97E-04
794;9.30E-04
796;9.64E-04
798;9.99E-04
800;0.001034884
802;0.001073561
804;0.001113635
806;0.001155106
808;0.001197974
810;0.001242238
812;0.0012879
814;0.001334959
816;0.001384603
818;0.001436814
820;0.001490903
822;0.001546869
824;0.001604711
826;0.001664431
828;0.001726028
830;0.001789501
832;0.001857558
834;0.001928187
836;0.002001336
838;0.002077005
840;0.002155194
842;0.002235903
844;0.002319132
846;0.002406096
848;0.002498364
850;0.00259401
852;0.002693033
854;0.002795433
856;0.002901209
858;0.003010363
860;0.003122894
862;0.003242282
864;0.003367307
866;0.003496848
868;0.003630903
870;0.003769474
872;0.00391256
874;0.004060161
876;0.004212908
878;0.004376184
880;0.004545478
882;0.004720791
884;0.004902122
886;0.005089471
888;0.005282839
890;0.005482225
892;0.005691513
894;0.005912407
896;0.006141293
898;0.006378172
900;0.006623044
902;0.006875908
904;0.007136766
906;0.007405615
908;0.007691871
910;0.007990025
912;0.008298746
914;0.008618035
916;0.00894789
918;0.009288313
920;0.009639302
922;0.010003976
924;0.010391228
926;0.010792372
928;0.011207408
930;0.011636337
932;0.012079156
934;0.012535868
936;0.013006472
938;0.013501722
940;0.01402102
942;0.014558454
944;0.015114025
946;0.015687731
948;0.016279574
950;0.016889553
952;0.017517669
954;0.018186716
956;0.018879404
958;0.019595565
960;0.020335198
962;0.021098303
964;0.021884881
966;0.022694932
968;0.023538158
970;0.024426006
972;0.025343918
974;0.026291895
976;0.027269937
978;0.028278044
980;0.029316216
982;0.030384452
984;0.031507561
986;0.03267617
988;0.033882803
990;0.035127459
992;0.036410138
994;0.03773084
996;0.039089566
998;0.040490723
1000;0.041966994
1002;0.043490649
1004;0.045061688
1006;0.046680111
1008;0.048345918
1010;0.050059109
1012;0.051819683
1014;0.053649194
1016;0.055555774
1018;0.05752039
1020;0.059543042
1022;0.061623731
1024;0.063762455
1026;0.065959217
1028;0.068214014
1030;0.070570179
1032;0.073001505
1034;0.075502524
1036;0.078073235
1038;0.080713639
1040;0.083423735
1042;0.086203524
1044;0.089065004
1046;0.092039469
1048;0.095095744
1050;0.098233828
1052;0.101453721
1054;0.104755423
1056;0.108138935
1058;0.111604256
1060;0.115181862
1062;0.118868895
1064;0.122649497
1066;0.126523669
1068;0.130491411
1070;0.134552722
1072;0.138707602
1074;0.142956238
1076;0.147342651
1078;0.151832919
1080;0.15642704
1082;0.161125016
1084;0.165926846
1086;0.170832531
1088;0.17584207
1090;0.180966781
1092;0.186218829
1094;0.191582146
1096;0.197056733
1098;0.202642589
1100;0.208339715
1102;0.21414811
1104;0.220067775
1106;0.226108138
1108;0.232265389
1110;0.238536878
1112;0.244922604
1114;0.251422568
1116;0.258036769
1118;0.264765208
1120;0.271606356
1122;0.278550254
1124;0.285605462
1126;0.29277198
1128;0.300049808
1130;0.307438946
1132;0.314939395
1134;0.322551153
1136;0.330253092
1138;0.338038463
1140;0.345924983
1142;0.353912652
1144;0.362001469
1146;0.370191435
1148;0.37848255
1150;0.386874814
1152;0.395294707
1154;0.403788099
1156;0.412363183
1158;0.421019957
1160;0.429758424
1162;0.438578582
1164;0.447480431
1166;0.456435289
1168;0.465374694
1170;0.474368294
1172;0.483416089
1174;0.49251808
1176;0.501674267
1178;0.510884648
1180;0.520149225
1182;0.52937795
1184;0.538582575
1186;0.547807407
1188;0.557052445
1190;0.56631769
1192;0.57560314
1194;0.584908797
1196;0.594230297
1198;0.603297954
1200;0.612321511
1202;0.621300968
1204;0.630236324
1206;0.63912758
1208;0.647974736
1210;0.656777791
1212;0.665536745
1214;0.6742516
1216;0.682922354
1218;0.691549007
1220;0.70013156
1222;0.708670013
1224;0.717164366
1226;0.725608948
1228;0.73367421
1230;0.741652854
1232;0.749544882
1234;0.757350292
1236;0.765069084
1238;0.77270126
1240;0.780246818
1242;0.787705759
1244;0.795078083
1246;0.802363789
1248;0.809562879
1250;0.816675351
1252;0.823701206
1254;0.830640443
1256;0.837487798
1258;0.843937214
1260;0.850260527
1262;0.856457736
1264;0.862528843
1266;0.868473846
1268;0.874292747
1270;0.879985545
1272;0.885552239
1274;0.890992831
1276;0.896307319
1278;0.901495705
1280;0.906557987
1282;0.911494167
1284;0.916304243
1286;0.920986786
1288;0.925458643
1290;0.929793669
1292;0.933991864
1294;0.938053227
1296;0.94197776
1298;0.945765462
1300;0.949416334
1302;0.952930374
1304;0.956307583
1306;0.959547961
1308;0.962651509
1310;0.965618225
1312;0.968448111
1314;0.971141165
1316;0.973699868
1318;0.976268327
1320;0.978718546
1322;0.981050527
1324;0.983264268
1326;0.985359771
1328;0.987337035
1330;0.989196059
1332;0.990936845
1334;0.992559392
1336;0.994063699
1338;0.995449768
1340;0.996717598
1342;0.997867188
1344;0.99889854
1346;0.999816531
1348;1.000904711
1350;1.001911233
1352;1.002836099
1354;1.003679308
1356;1.004440859
1358;1.005120754
1360;1.005718992
1362;1.006235572
1364;1.006670496
1366;1.007023763
1368;1.007295373
1370;1.007485326
1372;1.007593622
1374;1.007620261
1376;1.007570578
1378;1.007754691
1380;1.007897156
1382;1.007997974
1384;1.008057144
1386;1.008074668
1388;1.008050544
1390;1.007984772
1392;1.007877353
1394;1.007728287
1396;1.007537574
1398;1.007305213
1400;1.007031205
1402;1.00671555
1404;1.006358247
1406;1.005963428
1408;1.005771199
1410;1.005568301
1412;1.005354733
1414;1.005130495
1416;1.004895587
1418;1.004650009
1420;1.004393761
1422;1.004126843
1424;1.003849255
1426;1.003560997
1428;1.003262069
1430;1.002952471
1432;1.002632203
1434;1.002301266
1436;1.001963216
1438;1.00181671
1440;1.001670204
1442;1.001523697
1444;1.001377191
1446;1.001230685
1448;1.001084179
1450;1.000937673
1452;1.000791167
1454;1.00064466
1456;1.000498154
1458;1.000351648
1460;1.000205142
1462;1.000058636
1464;0.99991213
1466;0.999767547
1468;0.99972934
1470;0.999691133
1472;0.999652927
1474;0.99961472
1476;0.999576513
1478;0.999538307
1480;0.9995001
1482;0.999461893
1484;0.999423687
1486;0.99938548
1488;0.999347273
1490;0.999309067
1492;0.99927086
1494;0.999232653
1496;0.999195256
1498;0.999202613
1500;0.99920997
1502;0.999217327
1504;0.999224685
1506;0.999232042
1508;0.999239399
1510;0.999246756
1512;0.999254114
1514;0.999261471
1516;0.999268828
1518;0.999276185
1520;0.999283542
1522;0.9992909
1524;0.999298257
1526;0.999305778
1528;0.999322382
1530;0.999338986
1532;0.999355589
1534;0.999372193
1536;0.999388796
1538;0.9994054
1540;0.999422003
1542;0.999438607
1544;0.999455211
1546;0.999471814
1548;0.999488418
1550;0.999505021
1552;0.999521625
1554;0.999538228
1556;0.999554814
1558;0.999570428
1560;0.999586041
1562;0.999601655
1564;0.999617268
1566;0.999632881
1568;0.999648495
1570;0.999664108
