;novel;done;no samp;;;;comsol
;;;;;;1520;0.570980504
;;;;;;1530;0.618323013
;;;;;;1540;0.664615264
;;;;;;1550;0.709115742
;;;;;;1560;0.751142247
;;;;;;1570;0.790147443
;;;;;;1580;0.825710165
;;;;;;1590;0.857486611
;;;;;;1600;0.885197022
;;;;;;1610;0.908753061
;;;;;;1620;0.928338793
;;;;;;1630;0.944307483
;;;;;;1640;0.956900186
;;;;;;1650;0.966578601
;;;;;;1660;0.973804146
;;;;;;1670;0.979123117
;;;;;;1680;0.982887549
;;;;;;1690;0.985594088
;;;;;;1700;0.987550666
;;;;;;1710;0.989104951
;;;;;;1720;0.990433187
;;;;;;1730;0.991668432
;;;;;;1740;0.992860497
;;;;;;1750;0.994026532
;;;;;;1760;0.995134473
;;;;;;1770;0.996141225
;;;;;;1780;0.997019349
;;;;;;1790;0.997737834
;;;;;;1800;0.998277721
;;;;;;1810;0.998630575
;;;;;;1820;0.998851004
;;;;;;1830;0.999008029
;;;;;;1840;0.999143869
;;;;;;1850;0.99926431
;;;;;;1860;0.999369355
;;;;;;1870;0.999461204
;;;;;;1880;0.999545047
;;;;;;1890;0.999622888
;;;;;;1900;0.999697704
;;;;;;1910;0.999766769
;;;;;;1920;0.999826316
;;;;;;1930;0.999871106
;;;;;;1940;0.999897537
;;;;;;1950;0.999911361
;;;;;;1960;0.999918883
;;;;;;1970;0.999925981
;;;;;;1980;0.999934941
;;;;;;1990;0.999945014
;;;;;;2000;0.999955477
;;;;;;2010;0.999965502
;;;;;;2020;0.999974195
;;;;;;2030;0.999980752
;;;;;;2040;0.99998502
;;;;;;2050;0.999987709
;;;;;;2060;0.999989253
;;;;;;2070;0.999990119
;;;;;;2080;0.999990794
;;;;;;2090;0.999991768
;;;;;;2100;0.999993252
;;;;;;2110;0.999995013
;;;;;;2120;0.999996676
;;;;;;2130;0.999997859
;;;;;;2140;0.999998451
;;;;;;2150;0.999998578
;;;;;;2160;0.999998514
;;;;;;2170;0.999998507
;;;;;;2180;0.999998667
;;;;;;2190;0.999998961
;;;;;;2200;0.999999287
;;;;;;2210;0.999999552
;;;;;;2220;0.999999709
;;;;;;2230;0.999999759
;;;;;;2240;0.999999738
;;;;;;2250;0.9999997
;;;;;;2260;0.999999689
;;;;;;2270;0.999999728
;;;;;;2280;0.999999807
;;;;;;2290;0.999999898
;;;;;;2300;0.999999965
;;;;;;2310;0.999999992
;;;;;;2320;0.99999998
;;;;;;2330;0.99999995
;;;;;;2340;0.999999925
;;;;;;2350;0.99999992
;;;;;;2360;0.999999939
;;;;;;2370;0.999999971
;;;;;;2380;1
;;;;;;2390;1.000000015
;;;;;;2400;1.00000001
;;;;;;2410;0.999999993
;;;;;;2420;0.999999976
;;;;;;2430;0.99999997
;;;;;;2440;0.999999979
;;;;;;2450;0.999999996
;;;;;;2460;1.000000011
;;;;;;2470;1.000000014
;;;;;;2480;1.000000006
;;;;;;2490;0.999999994
;;;;;;2500;0.999999985
;;;;;;2510;0.999999986
;;;;;;2520;0.999999995
;;;;;;2530;1.000000004
;;;;;;2540;1.000000009
;;;;;;2550;1.000000007
;;;;;;2560;1
;;;;;;2570;0.999999994
;;;;;;2580;0.999999993
;;;;;;2590;0.999999996
;;;;;;2600;1
;;;;;;2610;1.000000004
;;;;;;2620;1.000000004
;;;;;;2630;1.000000002
;;;;;;2640;0.999999999
;;;;;;2650;0.999999997
;;;;;;2660;0.999999998
;;;;;;2670;0.999999999
;;;;;;2680;1.000000001
;;;;;;2690;1.000000002
