% Model,baseline.mph
% Version,COMSOL 6.0.0.318
% Date,"Sep 21 2022, 00:06"
% Dimension,1
% Nodes,1011
% Expressions,1
% Description,Function
% t,RP(t)
-1.0E-6,0.5852
0,0.5852148
2.9312246135199116E-5,0.5852101531296202
1.5056123067595795E-4,0.585190931528101
2.7181021521673066E-4,0.5851717099265817
3.9305919975751724E-4,0.5851524883250625
5.143081842982761E-4,0.5851332667235433
6.355571688390488E-4,0.585114045122024
7.568061533798076E-4,0.5850948235205047
8.780551379205803E-4,0.5850756019189854
9.99304122461353E-4,0.5850563803174663
0.0011205531070021257,0.585037158715947
0.0012418020915428984,0.5850179371144277
0.0013630510760836573,0.5849987155129085
0.0014843000606244439,0.5849794939113893
0.0016055490451652027,0.58496027230987
0.0017267980297059754,0.5849410507083508
0.0018480470142467481,0.5849218291068315
0.001969295998787521,0.5849026075053122
0.0020905449833282935,0.584883385903793
0.0022117939678690524,0.5848641643022737
0.002333042952409825,0.5848449427007545
0.002454291936950584,0.5848257210992353
0.0025755409214913705,0.584806499497716
0.0026967899060321293,0.5847872778961968
0.002818038890572902,0.5847680562946775
0.0029392878751136747,0.5847488346931583
0.0030605368596544474,0.5847296130916391
0.00318178584419522,0.5847103914901197
0.003303034828735979,0.5846911698886005
0.0034242838132767517,0.5846719482870812
0.0035455327978175244,0.584652726685562
0.0036667817823582832,0.5846335050840428
0.00378803076689907,0.5846142834825235
0.0039092797514398425,0.5845950618810043
0.004030528735980601,0.5845758402794851
0.004151777720521374,0.5845566186779657
0.004273026705062133,0.5845373970764465
0.0043942756896029195,0.5845181754749272
0.004515524674143692,0.584498953873408
0.004636773658684451,0.5844797322718888
0.004758022643225224,0.5844605106703695
0.0048792716277659826,0.5844412890688503
0.005000520612306755,0.584422067467331
0.005121769596847542,0.5844028458658118
0.005243018581388301,0.5843836242642926
0.005364267565929073,0.5843644026627732
0.00548551655046986,0.5843451810612541
0.005606765535010605,0.5843259594597348
0.0057280145195513915,0.5843067378582156
0.00584926350409215,0.5842875162566963
