% X,Y,c (mol/m^3) @ t=0,c (mol/m^3) @ t=600,c (mol/m^3) @ t=1200,c (mol/m^3) @ t=1800,c (mol/m^3) @ t=2400,c (mol/m^3) @ t=3000,c (mol/m^3) @ t=3600,c (mol/m^3) @ t=4200,c (mol/m^3) @ t=4800,c (mol/m^3) @ t=5400,c (mol/m^3) @ t=6000,c (mol/m^3) @ t=6600,c (mol/m^3) @ t=7200,c (mol/m^3) @ t=7800,c (mol/m^3) @ t=8400,c (mol/m^3) @ t=9000,c (mol/m^3) @ t=9600,c (mol/m^3) @ t=10200,c (mol/m^3) @ t=10800,c (mol/m^3) @ t=11400,c (mol/m^3) @ t=12000,c (mol/m^3) @ t=12600,c (mol/m^3) @ t=13200,c (mol/m^3) @ t=13800,c (mol/m^3) @ t=14400,c (mol/m^3) @ t=15000,c (mol/m^3) @ t=15600,c (mol/m^3) @ t=16200,c (mol/m^3) @ t=16800,c (mol/m^3) @ t=17400,c (mol/m^3) @ t=18000,c (mol/m^3) @ t=18600,c (mol/m^3) @ t=19200,c (mol/m^3) @ t=19800,c (mol/m^3) @ t=20400,c (mol/m^3) @ t=21000,c (mol/m^3) @ t=21600,c (mol/m^3) @ t=22200,c (mol/m^3) @ t=22800,c (mol/m^3) @ t=23400,c (mol/m^3) @ t=24000,c (mol/m^3) @ t=24600,c (mol/m^3) @ t=25200,c (mol/m^3) @ t=25800,c (mol/m^3) @ t=26400,c (mol/m^3) @ t=27000,c (mol/m^3) @ t=27600,c (mol/m^3) @ t=28200,c (mol/m^3) @ t=28800,c (mol/m^3) @ t=29400,c (mol/m^3) @ t=30000,c (mol/m^3) @ t=30600,c (mol/m^3) @ t=31200,c (mol/m^3) @ t=31800,c (mol/m^3) @ t=32400,c (mol/m^3) @ t=33000,c (mol/m^3) @ t=33600,c (mol/m^3) @ t=34200,c (mol/m^3) @ t=34800,c (mol/m^3) @ t=35400,c (mol/m^3) @ t=36000
0.5263157894737286,0.48684210526315697,0,-1.1896827728490405E-4,-6.224183673077088E-4,-9.874886186708586E-4,-0.0010367429090361168,-5.9998926008223453E-5,-6.06380639317599E-4,-1.9636474991909293E-5,-5.930935547228722E-5,-0.0011158190739681162,2.5810738795320845E-5,3.330544656199639E-4,6.474605750556518E-4,-1.0578968684816927E-4,-2.2088453819713792E-4,-2.0248121061366864E-4,-5.373534507658928E-4,2.6497275400909446E-4,-2.700033509555286E-4,2.1107085705608737E-4,-1.5174701258666493E-4,8.538911010746262E-4,6.35053168154865E-4,9.496021439133696E-4,8.504906362308997E-4,8.35056485665249E-4,0.001138580127560568,0.0011675781393095676,0.0018152580918735068,0.00118757124681539,0.0016878363853367717,0.0011736037947393688,0.0018005727936152842,0.0014360333289674045,0.001725427827784248,0.0015521190219303627,0.0015054345567580669,0.0017771888072362267,0.0015321306034171605,0.002060911303027286,0.0013283746325925448,0.0016436150807357878,9.449660662788468E-4,0.0013521108056775662,0.0010925422773855728,0.0015825153533378222,0.001613129463356887,0.0012618129922372335,5.853543804799909E-4,0.001471633758865117,0.0018031724914246295,0.0021839476299052593,0.00303694549371026,0.0022365254600157525,0.0023153067153115704,0.0020906686842703417,0.001453781340971083,9.618103505810815E-4,0.0010039997290566829,0.0019536110210688603,0.002533094404187806
0,0.49999999999999983,0,3.2000203384629155E-4,0.0022164732693353926,0.004918465576948,0.007955462811734355,0.005368813889131954,0.00693860733287395,0.006759086715539158,0.005952479008548398,0.008181522104152912,0.007394828477198084,0.007234010872860504,0.006604600537955749,0.007292584558415765,0.007514742544655573,0.007366398515715461,0.008258789356523345,0.006900333710199432,0.007828334855157403,0.007351333286910129,0.008715684047670503,0.007532416272252584,0.008438183084337103,0.0079111726506858,0.008316816857385162,0.008131145716173956,0.008318605129891394,0.008595859224143758,0.007799735296681782,0.00858250819093369,0.007764753558302366,0.008943290868259365,0.007926086769638643,0.00888379725541248,0.008008480812142053,0.00854943915616313,0.008404166707491178,0.008312605379023183,0.00862727848081882,0.0076446735466554165,0.008484457648581736,0.0075479657339678555,0.008779532722385778,0.008129329082892059,0.009143961394196131,0.008171214624293446,0.008155349592723642,0.008081389441821824,0.009401488149244337,0.008719646185337757,0.009462829004144175,0.009200792838588955,0.007877308208696362,0.008943651521144973,0.00812082116599506,0.008154124742029744,0.008450810768000012,0.009065658010944064,0.009639794744638826,0.009167359496235908,0.009343322920447773
0.5263157894737347,0,0,5.1727165019546416E-5,2.600945025161505E-4,4.6906149939954857E-4,6.117334203186836E-4,2.827325063977588E-4,7.519818840635542E-4,6.259048790250685E-4,7.958599978216429E-4,0.0013876549169417327,7.13329754823458E-4,6.287540541566877E-4,6.025800987729112E-4,0.0010326708474486142,0.0011478153720943002,0.001130329998170053,0.0013316818039888767,8.65422363681294E-4,0.0011561555975946724,8.841028608684606E-4,0.0010771698061840412,5.415114054908609E-4,7.274371088076037E-4,6.006801165677016E-4,7.340552978266552E-4,7.421393925525415E-4,6.232422682966993E-4,6.311706344630604E-4,3.544360536590503E-4,7.503353712927201E-4,4.746386735429979E-4,8.028327528573638E-4,4.6633735924062747E-4,7.228700354825026E-4,5.504303363927836E-4,7.04646283755121E-4,7.249643410109487E-4,6.014874847623369E-4,7.354179168357892E-4,4.6787142327062744E-4,8.512545981360617E-4,6.359291604887217E-4,0.001022366001324831,7.453240203041187E-4,9.108212418228432E-4,5.979660003364558E-4,6.163483109824184E-4,7.611155607694935E-4,0.001136176665280841,5.625892528157138E-4,4.610123390119958E-4,3.6557546664389045E-4,-4.709196944178639E-5,5.001626709006471E-4,4.8185217629484413E-4,6.358613283981929E-4,9.202448552393935E-4,0.0011718542649711643,0.0010414520409045554,4.132221474973818E-4,1.0952409739773231E-4
0,0,0,-1.1136723394943874E-4,-7.723144468464692E-4,-0.0018422767430557436,-0.003270292993351072,-0.0017475092518024712,-0.0025503046770576493,-0.002467932945919808,-0.002122659036278076,-0.0034217482539918883,-0.0027368669010029035,-0.0026230972944501006,-0.0023179949290438725,-0.002660885802265072,-0.0028027814743457457,-0.002705532219265811,-0.003242387365262936,-0.0024680617936820182,-0.002986815879875982,-0.002676187321611481,-0.003430124590772358,-0.0026983404172146183,-0.003212869450854524,-0.0028951989092532156,-0.0031619790062456525,-0.003010652625966662,-0.0030937261358786198,-0.0032225165243135166,-0.002777704000314491,-0.0032720954161615003,-0.0027252720381097453,-0.0034432113179963574,-0.0028022460809848776,-0.003401420270221654,-0.0028379669622215172,-0.003170467198581523,-0.0030710075427021655,-0.0030077596792274196,-0.0032077588688497888,-0.0026745819639533023,-0.003190418921076012,-0.002593865875983436,-0.003351825562548503,-0.0029209744532389405,-0.0035644055276837796,-0.0029550913269978086,-0.0030080362093160853,-0.002948372582341144,-0.003780677384691503,-0.0031921116787966904,-0.0035973248457433003,-0.0035327582798900014,-0.0026590414652699636,-0.0033418584943855443,-0.002888653530112439,-0.0029849061813959923,-0.0031623815412905485,-0.003672043876932317,-0.003965063048685689,-0.003455163386195826,-0.0034824732703248396
0.5263157894737224,0.9736842105263138,0,4.409422994024509E-4,0.002148249396940473,0.0025054974074766325,8.944091252541097E-4,-0.004445132587594105,-0.005161387454871782,-0.009119629358617494,-0.011111321458194616,-0.009150330284587888,-0.01222097833996681,-0.014133320663375781,-0.01618890220211718,-0.01509649094896484,-0.01544430628369416,-0.01599585384342421,-0.01561636063159472,-0.017919558217422863,-0.016935689690182266,-0.018183652231043047,-0.01758471234588912,-0.020275778244838435,-0.02028054473888731,-0.02141442447452595,-0.021574336121909416,-0.021806862763522363,-0.022592689942411513,-0.02287687504907277,-0.024759713381238856,-0.023784498161918098,-0.024790882517718504,-0.023753836165139795,-0.02522889153256463,-0.0246254288663208,-0.025320545439516316,-0.02499924526708906,-0.024954431403079052,-0.0255065348731125,-0.025016338765639266,-0.026251179248862517,-0.024685154728059766,-0.025232071968017123,-0.02368413276603414,-0.02447044717842429,-0.023905567468143683,-0.02491079894413276,-0.025088168597474533,-0.02435993373657493,-0.023058866575311907,-0.02446737621261911,-0.02515493180868498,-0.026032744661130237,-0.02767037007271957,-0.026305530223520106,-0.02666659107555166,-0.026266420845799728,-0.02491140591536028,-0.02397543389938292,-0.02379872796391376,-0.02525899713444547,-0.02627015803067623
0,0.9999999999999997,0,-0.0019216904725380616,-0.01243959104363756,-0.02481200852798417,-0.03566692926583624,-0.028718662926395015,-0.03429680095214902,-0.03384540649780685,-0.030911724177288664,-0.03610139514977007,-0.036129965462158714,-0.036162957686184466,-0.0348505547920872,-0.03654332778351211,-0.037232419141698565,-0.03687123016544229,-0.03893879015703123,-0.035846044245420185,-0.03794036076794219,-0.03717986686808619,-0.040312195066060416,-0.03803407212249418,-0.04004560657527421,-0.03886985644392099,-0.039703274336576826,-0.039319106202393844,-0.03989504908958887,-0.04057842519499341,-0.038966702667174724,-0.04029131161843252,-0.03878142477329076,-0.04121083008967704,-0.03927014608633037,-0.04122504414358862,-0.0394443143783207,-0.0405379181275481,-0.04018757668435138,-0.04007349399935398,-0.04065237904810554,-0.03860818604794134,-0.040268374223270384,-0.03839730397028337,-0.04086185878152208,-0.039594964935674784,-0.04158999877212883,-0.039687713304109126,-0.03961881058955806,-0.03934244340375582,-0.0415262006133612,-0.04077886135864855,-0.04215769170961616,-0.04142749494243072,-0.03933678589304397,-0.04134801315953916,-0.039550221675297745,-0.03947656429096565,-0.03997698362314617,-0.040709239397934444,-0.041811242305594326,-0.04150466383924386,-0.04199828896736617
1.0526315789474106,0.4736842105263153,0,3.591223437502241E-5,1.2866726402892923E-4,9.601868288381518E-5,6.3958836726713525E-6,-3.4370707094237335E-4,-1.3004969562844783E-4,-4.819220052455387E-4,-5.273166667154122E-4,-6.362397848705722E-4,-0.0013068770387123783,-0.001489959743307538,-0.0015040172170405343,-0.0012486851233307204,-0.0013395893158016955,-0.0015799168701743761,-0.001639464509962547,-0.002232029105703015,-0.0020247046562080267,-0.002415793883723034,-0.0023307910583491563,-0.0027119099554795884,-0.0023541723675893195,-0.0022788660640109463,-0.0019475980939561365,-0.0017832416820257795,-0.0018726863141704595,-0.0016888831167966023,-0.001822053195979429,-0.001251139930018889,-0.0015198792029634679,-0.001183263536605114,-0.0013521374737487707,-0.0010532268745314015,-0.0011462784286342207,-0.0010995434672668605,-0.0010051935414223925,-0.0012283421542347967,-0.0010306335247373566,-0.0013678957669171006,-0.0010008244781985003,-0.0014025812392569614,-0.0011475849827815052,-0.0014832045789341605,-0.0014217631474269302,-0.0016229833575079474,-0.0016228222980498716,-0.001429544433992487,-0.0010302220328318647,-0.0015202501189383716,-0.0017769285254024758,-0.0016967871155684658,-0.0017018332930245031,-8.771908246727356E-4,-7.539878509370256E-4,-6.709052732228596E-4,-4.7775727003272853E-4,-4.7633704722312506E-4,-6.787865327196003E-4,-0.0012835793349686346,-0.0015867447902884611
1.052631578947416,0,0,-1.7852393288792566E-5,-6.96494059245686E-5,-7.438046466207136E-5,-8.742251551478871E-5,5.8257076089829656E-5,-3.9997615449401434E-5,1.709138439862064E-4,2.3748287166022223E-4,3.3945187544110795E-4,7.110002702482021E-4,7.88966113587884E-4,7.94216240450902E-4,7.257675458098077E-4,8.199004461305235E-4,0.0010000883416713994,0.0010558281558673659,0.0013619213562711336,0.0012400602321892221,0.00143714675681814,0.0014173172237966776,0.0016088803918599549,0.00139255790608043,0.0013732178000538536,0.0012080835494250274,0.0011916044799100895,0.0012639911279891487,0.0012409086059777567,0.0013348016671384843,0.0010869486013914578,0.0012905923433567002,0.0011716794165543426,0.0013323370927382618,0.0012172871517693348,0.0013215100745099426,0.001306834118595441,0.0013129717995315885,0.001445867360396781,0.0013809668122272405,0.0015574057341073736,0.0013935625314262733,0.0015902125950763835,0.0014321694778229998,0.0016016797220697414,0.0015305146205551897,0.001626820794410854,0.0015764488874209098,0.0014723077965388743,0.001265151721570925,0.0015401119861650576,0.0015771531585432497,0.001494408324323115,0.00152796675442279,0.0011265845237020651,0.0011520699430397506,0.001187718070133701,0.0011780338461821784,0.0012200691941947803,0.0014020464680749478,0.001738587384775043,0.0018566049909186997
0.5263157894737164,1.4605263157894712,0,-0.0011949387935707987,-0.001204162980290659,0.006436861483394066,0.02215480420212833,0.0464955574266318,0.06025824896195768,0.07820510395237361,0.08995965861219414,0.09187359383845117,0.09927943688067238,0.10430395913345454,0.10895291994641593,0.10872888099724623,0.11041153862119306,0.11239185233478946,0.11296334102360607,0.11732621381093074,0.11701471493699132,0.11968290427227064,0.11983144008510291,0.1243726440059422,0.12510196646903335,0.12724377395375444,0.1277635533562799,0.1283645866728038,0.12947848838815518,0.12999659059419671,0.13258202618001366,0.13140764821783474,0.13260113785329466,0.13112960164757725,0.13305783317871636,0.13221072320660512,0.13317562411826178,0.13266719974749144,0.1326291455851941,0.13325884456826603,0.13261804831395044,0.1342355029199787,0.13217808559862995,0.1329253896835117,0.130874913717691,0.13195688727716162,0.13117866621622884,0.13253497944128503,0.13274732454126664,0.1318780807900851,0.1303286223025226,0.13197758480212468,0.13278272383575396,0.13380008644428576,0.13558050295513835,0.13380563059565348,0.13437426497570387,0.13385924545729927,0.13217891423124586,0.1311044482388368,0.1309082023375651,0.13261149521962892,0.13375940613457257
0,1.5,0,0.013602046108847382,0.08220707810935686,0.13464349866984804,0.16427825845505573,0.15362651277753522,0.1656705439096994,0.16319331892889666,0.15634326187407296,0.16361958834777626,0.1648401576347926,0.16597251468681024,0.16538415044877605,0.16876076256590472,0.17061101257357503,0.17053814358876565,0.17373512941542815,0.1696408674834553,0.17264577893482166,0.17181745877175006,0.1760612988246682,0.17306663943810138,0.17571924060485913,0.17395601183711668,0.17506337833813168,0.17445116065258,0.17526795805712164,0.17612292092700502,0.1741173571450786,0.1756737170057905,0.17370370445168418,0.1769270290801597,0.17444985976138166,0.17708332659342677,0.17464807805354796,0.17608440281687174,0.17555029183390844,0.17545649466992072,0.17616817874543172,0.1735765708987703,0.1757688983046859,0.17326406259346464,0.1764999806705668,0.1747998892509263,0.177409510602644,0.1749118108185342,0.17494317388689584,0.17447079991105627,0.17695393570258114,0.176153373976406,0.17774568869463958,0.17671341349923556,0.1744284261171051,0.17706196265016855,0.1746742534282916,0.1745982896263608,0.17521025438833052,0.1759672838149856,0.1772143785973225,0.17691833611620386,0.17751003896389767
